,date of post,job title,company name,location,industry,years of experience,requirement,responsibility,job description
1,02-Nov-21,Scientist/ Research Scientist for Product development,DiagCor Life Science Limited,Kowloon Bay,Others,,"['Ph.D. holder in Molecular Biology, Microbiology, Biomedical Engineering, Electronic Engineering or relevant disciplines with 5+ years related working experience; or in related areas. Candidate with less experiences may also be considered;', 'Proficient and meticulous in broad range of Engineering techniques, Software programming, and Molecular techniques are preferable;', 'Hands-on experience in clinical research/ healthcare product, medical device or Point-Of-Care systems development, CE, FDA, or China NMPA application, ISO 9001 and ISO13485 process management will be beneficial;', 'Strong team spirit, interpersonal and communication skills, good English writing and reading ability; and', 'Proactive,creative, positive attitude, result-oriented, capable of multi-tasking along with problem-solving expertise and capable of independent in-depth research.', 'If you are passionate, driven and looking for a new and exciting opportunity within a successful and growing company, this may be the right role for you.', 'Please click “Apply Now” to submit your application.', 'For more info, please visit our web page at', 'http://www.diagcorlifescience.com/']",,"['Job Duties:', 'Participate in a team for MDx product development and advancement;', 'Responsible for planning, organizing and overseeing process or production trial and scale up, generating ideas for new products and researching feasibility in terms of profitability, resource availability and compliance with regulations;', 'Recording and analyzing data, investigating and testing new equipment, technology transfer, documentation and filing;', 'Provide technical support to cross-functional team for product quality control, validation and evaluation;', 'Liaise with engineering, research, technical and/or production staff, vendors, academic researchers and external collaborators to coordinate research or commercialization projects;', 'Responsible for writing and reading technical papers, reports, reviews and specifications, patent and grant applications; and', 'Report findings and project update at group and departmental meetings.', 'Requirements:']"
2,"{date}"",""",Data Scientist,Neo Derm (HK) Ltd,Tai Koo,Health &amp; Beauty Care,,"['Bachelor’s degree or above in Computer Science, Statistics, Operations Research or Data Science related disciplines', 'Proficient in Python and SQL', 'Excellent understanding of machine learning and deep learning techniques and algorithms', 'Solid working experience in artificial intelligence projects', 'With can-do attitude, good business acumen and presentation skills', 'Experience in working in fast-paced, dynamic and agile development lifecycle', 'Preferably with background in ecommerce or retail', 'Experience in Big Data technologies, such as Hadoop, Spark, Lucene/Elastic Search, MongoDB or Neo4j is desirable', 'Experience in using Tableau, Power BI or related analytics visualization tools would be an advantage']",,"['About us:', 'With the trend towards\xa0Industrial Revolution 4.0, our IT department, the strategic technology enabler with more than 70 staff,\xa0has established a comprehensive personalized customer-centric platform (gratus) and operation management system, i.e. Customer Behavioral Tracking System, Recommendation Engine, Business Intelligence Dashboard and Campaign Monitoring System, to support the fast-changing business transformation needs across the Group.', 'To support the Group’s continuous development, we are looking for high caliber talent who is enthusiastic in system development to join our strong &amp; fast-growing IT team.', 'Responsibilities', ':', 'Analyze structured and unstructured data, visualize findings, discover actionable insights and put machine learning pipelines into production', 'Apply data mining and statistical modelling techniques to find out behavioral patterns and interconnections in Big Data', 'Contribute to company data-driven culture by supporting business strategies with data and communicating results to business units', 'Conduct research on state-of-the-art technologies to solve business problems', 'Apply machine learning algorithms and build predictive models to identify business opportunities such as online advertising and propensity modelling', 'Collaborate with IT team to implement real-time Big Data solutions into marketing &amp; operations management platforms and monitor performance']"
3,"{date}"",""",Data Analyst Lead,A4lution Limited,Kwun Tong,Others,5 years,"['Bachelor Degree or above in Computer Science/Mathematics/Statistics or related discipline', ""5 years' or above experience in data analysis/data science"", 'Able to extract, manipulate and transform the data into actionable insights', 'Solid experience in SQL, Python and ExcelVBA', 'Solid experience in visualization tools, such as PowerBI/Tableau', 'Ability to present the business ideas to technical and non-technical senior management', 'Excellent communication skill in both verbal and written English', 'Experience in machine learning is a plus', 'Working Location &amp; Times', 'Location: Kwun Tong', 'Working day: Monday – Friday', 'Working Time: 10:00 - 19:00', 'Benefits:', 'Five-day work', 'Public Holiday', 'Medical Allowance']","['Work closely with senior management to understand their needs and provide actionable solutions for business', 'Understand core business needs, summarize into requirements and create clear specifications for developing the relevant analytics framework.', 'Lead a team to support the database, including data requirement management, data ingestion management and authorization management', 'Formulate organizational data strategy and data assets management, convert business requirements into technical requirements', 'Develop analytics reports and visualization dashboard for business monitoring and delivering insights', 'Drive automation of analytical projects', 'Prepare financial analysis materials for management’s strategic meetings, in particular analysing the performance in various business segments', 'Assist in defining, tracking, and monitoring KPIs', 'Responsible for data governance, inventory, acquisition, analysis and cleaning', 'Define new data collection and analysis processes', 'Innovate new technology for the company, such as Apache Spark, NOSQL database', 'Requirements:', 'Bachelor Degree or above in Computer Science/Mathematics/Statistics or related discipline', ""5 years' or above experience in data analysis/data science"", 'Able to extract, manipulate and transform the data into actionable insights', 'Solid experience in SQL, Python and ExcelVBA', 'Solid experience in visualization tools, such as PowerBI/Tableau', 'Ability to present the business ideas to technical and non-technical senior management']","['Responsibilities:', 'Work closely with senior management to understand their needs and provide actionable solutions for business', 'Understand core business needs, summarize into requirements and create clear specifications for developing the relevant analytics framework.', 'Lead a team to support the database, including data requirement management, data ingestion management and authorization management', 'Formulate organizational data strategy and data assets management, convert business requirements into technical requirements', 'Develop analytics reports and visualization dashboard for business monitoring and delivering insights', 'Drive automation of analytical projects', 'Prepare financial analysis materials for management’s strategic meetings, in particular analysing the performance in various business segments', 'Assist in defining, tracking, and monitoring KPIs', 'Responsible for data governance, inventory, acquisition, analysis and cleaning', 'Define new data collection and analysis processes', 'Innovate new technology for the company, such as Apache Spark, NOSQL database', 'Requirements:', 'Bachelor Degree or above in Computer Science/Mathematics/Statistics or related discipline', ""5 years' or above experience in data analysis/data science"", 'Able to extract, manipulate and transform the data into actionable insights']"
4,"{date}"",""",Data Analyst (at the rank/grade of Technical Officer/Research Assistant I/II),The University of Hong Kong,Sai Wan,Education,,,,"['Data Analyst (at the rank/grade of Technical Officer/Research Assistant I/II)\xa0in the Clinical Trials Centre', '(Ref.: 508846)\xa0(to commence as soon as possible for one or two year(s), with the possibility of renewal subject to satisfactory performance)', 'The Clinical Trials Centre (HKU-CTC) is a leading clinical trials management platform established under the LKS Faculty of Medicine and dedicated to managing and facilitating international-standard clinical trials on new drugs, medical devices and medical technologies.\xa0 HKU-CTC offers long-term development opportunities to passionate talents who are devoted to a career in the clinical trial profession.', 'Clinical data management and analysis is a core process in any clinical research project, and is subject to stringent international standards, guidelines and regulations such as CDISC (SDTM/ADaM).\xa0 HKU-CTC’s Data Management and Medical Statistics Unit is seeking talents who are interested/experienced in practising the data science/statistics profession in clinical research.', 'Applicants should possess a Bachelor’s degree or above in Data Science, Statistics, Biostatistics, Information Technology or related disciplines. Knowledge in SAS and R programming are necessary.\xa0 Relevant experience in data management, clinical data analysis/reporting and literature search, and proficiency in HTML, CSS and JavaScript are added advantages.\xa0 They should have good coordination and problem-solving skills and commitment to quality and compliance.\xa0 They should also be detail-minded, able to handle multiple concurrent tasks, and have a strong sense of responsibility.\xa0 A good command of written and spoken English and Chinese is a must.', 'The appointee will work with a team of data management and biostatistics specialists in performing duties on data management, analysis and reporting, including: (i) electronic Case Report Forms (eCRF) design and development using REDCap and other equivalent systems; (ii) statistical/database programming using SAS/R; (iii) quality assurance/quality control for the data management and analysis process; (iv) development of clinical study protocols, data management plans, statistical analysis plans and clinical study reports; and perform other duties as assigned.\xa0 Those who have responded to the previous advertisement (Ref.: 508397) need not re-apply.', 'A highly competitive salary commensurate with qualifications and experience will be offered, in addition to annual leave and medical benefits.\xa0 Appointment on two-year fixed term will attract a contract-end gratuity and University contribution to a retirement benefits scheme, totalling up to 10% of basic salary.', ""The University only accepts online applications for the above post. \xa0Applicants should apply online at the University's career site ("", 'https://jobs.hku.hk', ') and upload an up-to-date C.V.\xa0 Review of applications will start from November 18, 2021 and continue until', 'December 3, 2021', 'or until the post is filled, whichever is earlier.']"
5,"{date}"",""",Graduate Data Scientist,Arup,Kowloon City,Engineering - Others,,,"['Analyze engineering discipline business requirements', 'Advise appropriate emerging technologies that would make a step change to our design / advisory services to clients', 'Advise data driven services to our traditional advisory services in built environment and where applicable for creating technology system architecture to support the projects', 'Manage the digital services programme intended to uplift the regional digital competency and create new services', 'Keep abreast of global digital services initiatives to map regional relevance', 'Collaborate with domain / business leaders and various regional teams to explore additional digital revenue opportunities and engage them with best practices', 'Develop web applications and backendApplication Programming Interface (API)', 'Assure application quality through proper design, testing and documentation', 'Collaborate closely with in-house engineers and consultants on business support', 'Qualifications &amp; Experience required:']","['Responsibilities:', 'Analyze engineering discipline business requirements', 'Advise appropriate emerging technologies that would make a step change to our design / advisory services to clients', 'Advise data driven services to our traditional advisory services in built environment and where applicable for creating technology system architecture to support the projects', 'Manage the digital services programme intended to uplift the regional digital competency and create new services', 'Keep abreast of global digital services initiatives to map regional relevance', 'Collaborate with domain / business leaders and various regional teams to explore additional digital revenue opportunities and engage them with best practices', 'Develop web applications and backendApplication Programming Interface (API)', 'Assure application quality through proper design, testing and documentation']"
6,"{date}"",""",Data Analyst  – Banking,BDO Financial Services Limited,,Accounting/Audit/Tax Services,4 years,"['Tertiary qualification or above preferred', 'At least 5 years’ experience in performing data analysis, dashboards development and project coordination', 'Experience in data science and modelling is an added advantage (but not a must)', 'Good Knowledge with project mechanics and process design techniques preferred', 'Well versed in digital business insight', 'Good business analysis, problem solving and facilitation skills', 'Able to manage personal workload with good communication skills', 'Good command of both written and spoken English, Cantonese &amp; Mandarin']","['Develop Dashboards to monitor operations performance', 'Managing data quality issues and data design/solutions', ""Support on UAT and users' transition experience"", 'Consolidate a large amount of market data and apply analytical methods to generate business insights and improve operational efficiency', 'Develop Qlik Sense solutions (or equivalent) as a BI tool to visualize and automate reporting', 'Facilitate and coordinate with different functional units to including front office, middle office and supporting departments to ensure the progress of the projects /initiatives', 'Cultivate the mindset of internal customers on continuous improvement through various improvement initiatives', 'Keep abreast of the market, suggest and propose new improvement initiatives', 'Liaise with business users and IT on defining project initiatives, requirement documentation and analysis', 'Develop testing schedules and test plans for UAT with close monitoring on implementation progress']","['Our client', 'is a multinational bank with an all-rounded financial operations at its prime within the APAC region.\xa0 They are looking for a young and energetic individual to support their Group Finance Project initiatives', 'Responsibilities:', 'Develop Dashboards to monitor operations performance', 'Managing data quality issues and data design/solutions', ""Support on UAT and users' transition experience"", 'Consolidate a large amount of market data and apply analytical methods to generate business insights and improve operational efficiency', 'Develop Qlik Sense solutions (or equivalent) as a BI tool to visualize and automate reporting']"
7,"{date}"",""",Data Analyst - Consumer Electronics Field,Noah (Asia) Limited,Causeway Bay,Advertising/Public Relations/Marketing Services,2 years,,,"['Responsibilities', ':', '- Develop and maintain sales data &amp; salesman dashboard', '- Perform data analysis with excel, SQL/Power Pivot, Power BI to bring insights and actions for sales &amp; marketing activities.', '- Assist in identifying business gaps and inconsistencies and developing action plans.', '- Assist in developing project plans, budgets and schedules.', '- Evaluate operations procedures and recommend streamlining and automation for productivity improvement.', 'Requirements', '- Bachelor degree, preferred graduates from Business Analysis, Accounting, Economics, Business administration, information Technology, Computer Science or related disciplines;', ""- Preferred 2 years' working experience or above;"", '- Proficient in Excel in data analytics is a must;', '- Strong problem solving skills and proactive working attitude;', '- Good interpersonal skills, communication skills and good team member.']"
8,03-Nov-21,Senior Research Scientist,奧朗生物醫藥有限公司,Shatin Area,Medical/Pharmaceutical,,,,"['As a Senior Research Scientist, you will be responsible for research and development of innovative non-viral gene as well as biological drug delivery to address unmet medical needs. The ideal candidate will also have a strong passion and curiosity for cell and gene therapy with the desire to bring needed cures from bench to bedside. Demonstrated genuine interest and curiosity in research and development is highly valued.', 'Responsibilities', 'Expand our proprietary, patent-pending cell and gene delivery platform to develop new tools and/or applications for specialized and enhanced implementation in cell and gene therapy. In addition, utilizing our patented technology on expanding the non-invasive ophthalmic drug delivery platform with new biological candidates in treating eye diseases.', 'Apply your strong background in molecular biology, transposon, and gene delivery technology to develop new gene delivery systems for use in ex vivo and in vivo therapies.', 'Prepare formulations and perform characterization assays /data analysis with focus on in vivo studies, drug carrier design/development, assay development and quality control.', 'Develop novel formulations and processes to further expand delivery capabilities', 'Support formulation development activities related to increasing stability and formulation optimization.', 'Work in close interaction with internal and external industrial partners and academic institutes to ensure smooth flow of information and data.', 'Prepare technical reports and presentations for clear communication of scientific findings across interdisciplinary teams.', 'Execute the plans according to IND enabling timelines for both China and US regulatory submission.']"
9,"{date}"",""",Business Analyst (Data Analysis),EC Healthcare,Mong Kok,Health &amp; Beauty Care,,"['Degree in Data Science, Business, Information Technology or related discipline', 'At least 2-years in-depth experience in data warehouse and BI platform, Tableau preferred', 'Experience in data analytics design and segmentation', 'Knowledge in SQL and Python coding or correlation calculation platform', 'Proficiency in relational databases and data integration tools', 'Good problem-solving skills', 'Ability to work independently under pressure', 'Self-motivated, work proactive and willing to learn new technology', 'Good presentation, interpersonal and communication skills', 'Excellent command of both spoken and written English and Chinese', 'Experienced in working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases is preferred.', 'Experienced in managing and developing data integration, ETL with data warehouse, Google Analytics, Google Tag Manager and BI platform is preferred.', 'Capability to maintain ETL processes is a plus']",,"['Job Descriptions:', 'Develop strategic KPIs with the objective of controlling and enhancing the business procedures and customer experience', 'Conduct commercial (Sales and Sales related KPIs) and financial analysis (PL)', 'Assist the Project manager and work with the team to design, manage analytics projects and solution for generating useful business insights, correlation of brands and customer spending behavior', 'Develop and built segmentation platform for effective filtering of targeted customer list for enabling data driven marketing. Perform evaluation of segmentation used in different marketing channels', 'Work closely with various business units for user requirements collection and projects implementation', 'Support and align efforts to drive business process analysis meeting to support the Business Unit', 'Manage business expectations by developing a communication process to keep others up-to-date on project results; as well as performance tracking, as daily, weekly and monthly basis', 'Identify, create and facilitate process design changes by conducting business and systems process analysis and design at a complex level', 'Work on regular business performance reports for useful business insights', 'Ensure a valid data analyzing process\xa0including data extraction, manipulation, processing, storage, archival and more', 'Requirements:', 'Degree in Data Science, Business, Information Technology or related discipline', 'At least 2-years in-depth experience in data warehouse and BI platform, Tableau preferred', 'Experience in data analytics design and segmentation', 'Knowledge in SQL and Python coding or correlation calculation platform', 'Proficiency in relational databases and data integration tools']"
10,"{date}"",""",Data Engineer /Data Analyst,Grand Alliance Asset Management Ltd,Central,Financial Services,1 year,,,"['Responsibilities', 'Collect and clean structured and unstructured data, develop and maintain data pipeline, analyze and visualize financial/fund data', 'Develop and maintain front and back-end database architecture', 'Transform data into meaningful conclusions and recommendations', 'Propose and implement automation pipeline that supports daily operation processes', 'Collaborate with other teams to promote a data-driven approach within the firm', 'Ad-hoc tasks related to data processing and analysis', 'Assist in IT-related initiatives', 'Liaise with external data and IT vendors', 'Requirements', 'Degree in', 'Computer Science, Engineering, Data Analytics, Financial Engineering', 'or related disciplines', '1 year+ of work/intern experience in related areas (preferably in the financial industry)', 'Proficiency in', 'Python', 'is a must']"
